text,label,notes
Jokic controls the game because every cut and handoff becomes dangerous when he catches the ball at the elbow.,,Source: manually collected from public NBA discussion comments
Tatum is never going to be the best player on a championship team.,,Source: manually collected from public NBA discussion comments
That dunk was disgusting. I still cannot believe he finished that.,,Source: manually collected from public NBA discussion comments
Why did they stop attacking the paint in the fourth quarter?,,Source: manually collected from public NBA discussion comments
The Celtics offense looks much smoother when the ball does not stick because their shooters force the defense to rotate early.,,Source: manually collected from public NBA discussion comments
Luka is the best offensive player in the league and it is not even close.,,Source: manually collected from public NBA discussion comments
I cannot believe they missed that wide open corner three. That was painful.,,Source: manually collected from public NBA discussion comments
Why did the coach wait so long to call a timeout during that run?,,Source: manually collected from public NBA discussion comments
The Knicks defended better in the second half because they stopped overhelping and forced more contested jumpers.,,Source: manually collected from public NBA discussion comments
This team is completely cooked. They are not serious contenders.,,Source: manually collected from public NBA discussion comments
That block was ridiculous. I jumped out of my seat.,,Source: manually collected from public NBA discussion comments
"Who has the better long-term ceiling, Anthony Edwards or Shai Gilgeous-Alexander?",,Source: manually collected from public NBA discussion comments
The Warriors struggle when Draymond is not involved as a passer because their off-ball movement depends on his timing.,,Source: manually collected from public NBA discussion comments
Embiid will never be reliable in the playoffs.,,Source: manually collected from public NBA discussion comments
That fourth quarter collapse made me sick.,,Source: manually collected from public NBA discussion comments
Why do teams keep going under screens against elite pull-up shooters?,,Source: manually collected from public NBA discussion comments
Brunson is difficult to guard because he changes pace so well and keeps defenders off balance in the midrange.,,Source: manually collected from public NBA discussion comments
Wemby is already better than almost every big man in the league.,,Source: manually collected from public NBA discussion comments
That game winner was insane. I still cannot process it.,,Source: manually collected from public NBA discussion comments
What adjustment should the Lakers make if teams keep packing the paint?,,Source: manually collected from public NBA discussion comments
